key_type,key,smiles
cas,36120-03-3,
cas,527685-31-0,
cas,107-13-1,
cas,38742-70-0,
cas,25214-39-5,
cas,5117-12-4,
cas,4369-14-6,
cas,63225-53-6,
cas,30697-40-6,
cas,44992-01-0,
cas,1204591-17-2,
cas,92456-63-8,
cas,299184-71-7,
cas,1797426-50-6,
cas,847249-61-0,
cas,91745-12-9,
cas,91745-12-9 / 225233-93-2,
cas,73-24-5,
cas,58-61-7,
cas,60-92-4,
cas,61-19-8,
cas,56-65-5,
cas,61789-97-7,
cas,61789-99-9,
cas,84649-72-9,
cas,165800-54-4,
cas,124-04-9,
cas,1071-93-8,
cas,55231-08-8,
cas,25085-20-5,
cas,26760-54-3,
cas,133184-01-7,
cas,25212-19-5,
cas,58891-19-3,
cas,25950-34-9,
cas,28407-73-0,
cas,92201-13-3,
cas,90320-19-7,
cas,8053-39-2,
cas,1333524-00-7,
cas,90320-21-1,
cas,9002-18-0,
cas,95009-14-6,
cas,9012-36-6,
cas,91770-93-3,
cas,85186-53-4,
cas,165800-55-5,
cas,85480-32-6,
cas,84775-40-6,
cas,84649-79-6,
cas,90131-67-2,
cas,90320-26-6,
cas,302-72-7 / 56-41-7,
cas,13187-90-1,
cas,39537-23-0,
cas,440103-71-9,
cas,84775-72-4,
cas,9006-50-2,
cas,90320-27-7,
cas,84695-94-3,
cas,1317-25-5,
cas,64-17-5,
cas,5579-81-7,
cas,8015-80-3,
cas,6949-98-0,
cas,92128-82-0 / 68917-51-1,
cas,9005-38-3 / 57606-04-9,
cas,9005-32-7,
cas,168456-51-7,
cas,90320-32-4,
cas,9001-78-9,
cas,517-88-4 / 23444-65-7 / 85251-58-7,
cas,97-59-6,
cas,4207-40-3,
cas,57448-83-6,
cas,4492-73-3,
cas,4207-41-4,
cas,5119-24-4,
cas,4572-09-2,
cas,4207-42-5,
cas,29659-38-9,
cas,8054-39-5,
cas,90320-33-5,
cas,84650-15-7,
cas,8008-99-9,
cas,8008-99-9 (generic),
cas,8000-78-0,
cas,97593-04-9,
cas,673-84-7,
cas,22451-63-4,
cas,642-05-7,
cas,67634-01-9,
cas,71500-37-3,
cas,79-78-7,
cas,583-04-0,
cas,2051-78-7,
cas,123-68-2,
cas,1866-31-5,
cas,4728-82-9,
cas,68901-15-5,
cas,2705-87-5,
cas,142-19-8,
cas,73157-43-4,
cas,2835-39-4,
cas,96-05-9,
cas,779327-42-3,
cas,182212-41-5,
cas,7493-72-3,
cas,4230-97-1,
cas,14289-65-7,
cas,7493-74-5,
cas,1797-74-6,
cas,2408-20-0,
cas,7539-12-0,
cas,487007-28-3,
cas,68132-80-9,
cas,140-67-0,
cas,68213-85-4,
cas,124046-50-0,
cas,124046-18-0,
cas,124046-03-3,
cas,165586-98-1,
cas,165586-99-2,
cas,124046-20-4,
cas,223747-71-5,
cas,223747-76-0,
cas,85507-69-3 / 94349-62-9,
cas,8001-97-6,
cas,84649-82-1,
cas,90320-39-1,
cas,84837-08-1,
cas,30861-27-9,
cas,93917-67-0,
